ServCode;latitude;longitude;conceptKeyword;VarCode;VarName;datatype;valuetype,sample medium;Sitename;ValueCount;Organization
NWISDV; 38.3197222; -89.8886111; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; KASKASKIA RIVER AT NEW ATHENS, IL; 460; U.S. Geological Survey (USGS)
NWISDV; 38.3197222; -89.8886111; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; KASKASKIA RIVER AT NEW ATHENS, IL; 373; U.S. Geological Survey (USGS)
NWISDV; 40.72277778; -88.53; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; INDIAN CREEK NEAR FAIRBURY, IL; 1402; U.S. Geological Survey (USGS)
NWISDV; 40.46777778; -88.86388889; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; KICKAPOO CREEK AT 2100E ROAD NEAR BLOOMINGTON, IL; 786; U.S. Geological Survey (USGS)
NWISDV; 40.4628611; -88.8771667; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; KICKAPOO CR TRIB NR LONGFIELD RD NR BLOOMINGTON,IL; 322; U.S. Geological Survey (USGS)
NWISDV; 39.63277778; -90.6077778; Colored dissolved organic matter; NWISDV:32295/DataType=MAXIMUM; Colored dissolved organic matter (CDOM), water, in situ, single band excitation, fluorescence emission, parts per billion quinine sulfate equivalents (ppb QSE); MAXIMUM; Field Observation; SurfaceWater; ILLINOIS RIVER AT FLORENCE, IL; 764; U.S. Geological Survey (USGS)
NWISDV; 41.33305556; -88.4669444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; HANSON GRAVEL PIT AT CULVERT NEAR MORRIS, IL; 402; U.S. Geological Survey (USGS)
NWISDV; 40.72277778; -88.53; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; INDIAN CREEK NEAR FAIRBURY, IL; 1367; U.S. Geological Survey (USGS)
NWISDV; 40.47277778; -88.8797222; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; KICKAPOO CREEK TRIBUTARY NEAR BLOOMINGTON, IL; 1069; U.S. Geological Survey (USGS)
NWISDV; 41.48892309; -90.1576186; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; GREEN RIVER NEAR GENESEO, IL; 517; U.S. Geological Survey (USGS)
NWISDV; 39.63277778; -90.6077778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; ILLINOIS RIVER AT FLORENCE, IL; 1572; U.S. Geological Survey (USGS)
